site_id,input_ptx,output_dir,variant,shrub_csv,metrics_csv,tree_inventory_csv,fuels_raster,dtm_raster,chm_raster,stdout_log,stderr_log,returncode,used_cache,ptx_name,ptx_date_token,ptx_date,ptx_quality_score
calaveras-big-trees,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/calaveras-big-trees/CATCU_0001_20240923_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1,revised,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1/Shrubs/CATCU_0001_20240923_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1/metrics/CATCU_0001_20240923_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1/Inventory/CATCU_0001_20240923_1_inv.csv,,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1/dtm/CATCU_0001_20240923_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1/chm/CATCU_0001_20240923_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0001_20240923_1/stderr.log,0,False,,,,
calaveras-big-trees,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/calaveras-big-trees/CATCU_0008_20250615_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1,original,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/Shrubs/CATCU_0008_20250615_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/metrics/CATCU_0008_20250615_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/Inventory/CATCU_0008_20250615_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/Fuels/CATCU_0008_20250615_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/dtm/CATCU_0008_20250615_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/chm/CATCU_0008_20250615_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0008_20250615_1/stderr.log,0,False,,,,
calaveras-big-trees,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/calaveras-big-trees/CATCU_0008_20250615_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1,revised,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/Shrubs/CATCU_0008_20250615_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/metrics/CATCU_0008_20250615_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/Inventory/CATCU_0008_20250615_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/Fuels/CATCU_0008_20250615_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/dtm/CATCU_0008_20250615_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/chm/CATCU_0008_20250615_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0008_20250615_1/stderr.log,0,False,,,,
independence-lake,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/independence-lake/CATNF_6040_20250820_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1,original,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/Shrubs/CATNF_6040_20250820_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/metrics/CATNF_6040_20250820_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/Inventory/CATNF_6040_20250820_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/Fuels/CATNF_6040_20250820_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/dtm/CATNF_6040_20250820_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/chm/CATNF_6040_20250820_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6040_20250820_1/stderr.log,0,False,,,,
independence-lake,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/independence-lake/CATNF_6040_20250820_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1,revised,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/Shrubs/CATNF_6040_20250820_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/metrics/CATNF_6040_20250820_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/Inventory/CATNF_6040_20250820_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/Fuels/CATNF_6040_20250820_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/dtm/CATNF_6040_20250820_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/chm/CATNF_6040_20250820_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/revised/CATNF_6040_20250820_1/stderr.log,0,False,,,,
calaveras-big-trees,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/calaveras-big-trees/CATCU_0009_20250615_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1,original,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/Shrubs/CATCU_0009_20250615_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/metrics/CATCU_0009_20250615_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/Inventory/CATCU_0009_20250615_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/Fuels/CATCU_0009_20250615_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/dtm/CATCU_0009_20250615_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/chm/CATCU_0009_20250615_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/original/CATCU_0009_20250615_1/stderr.log,0,True,CATCU_0009_20250615_1.ptx,20250615.0,2025-06-15 00:00:00,
calaveras-big-trees,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/calaveras-big-trees/CATCU_0009_20250615_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1,revised,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/Shrubs/CATCU_0009_20250615_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/metrics/CATCU_0009_20250615_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/Inventory/CATCU_0009_20250615_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/Fuels/CATCU_0009_20250615_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/dtm/CATCU_0009_20250615_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/chm/CATCU_0009_20250615_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/calaveras-big-trees/sprint3/revised/CATCU_0009_20250615_1/stderr.log,0,True,CATCU_0009_20250615_1.ptx,20250615.0,2025-06-15 00:00:00,
dl-bliss,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,original,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/stderr.log,0,True,CAAEU_0027_20250728_1.ptx,20250728.0,2025-07-28 00:00:00,
dl-bliss,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1,revised,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/revised/CAAEU_0027_20250728_1/stderr.log,0,True,CAAEU_0027_20250728_1.ptx,20250728.0,2025-07-28 00:00:00,
independence-lake,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/independence-lake/CATNF_6118_20250820_1.ptx,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1,original,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/Shrubs/CATNF_6118_20250820_1.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/metrics/CATNF_6118_20250820_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/Inventory/CATNF_6118_20250820_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/Fuels/CATNF_6118_20250820_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/dtm/CATNF_6118_20250820_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/chm/CATNF_6118_20250820_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/stdout.log,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/independence-lake/sprint3/original/CATNF_6118_20250820_1/stderr.log,0,True,CATNF_6118_20250820_1.ptx,20250820.0,2025-08-20 00:00:00,
