site_id,plot_id,ptx_stem,ptx_date_token,ptx_date,object_id,x_tls,y_tls,height_tls,area_tls,radius_m,radius_source,n_points,valid_object,object_confidence,temporal_confidence,transform_confidence,boundary_confidence_mode,source_file,source_version,variant,label_variant,run_dir,metrics_csv,tree_inventory_csv,fuels_raster,dtm_raster,chm_raster,input_ptx,Unnamed: 0,perimeter_tls,compactness,elongation,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,dedup_keep,dedup_reason,x_als,y_als,x_naip,y_naip,row,col
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,1,-12.1705148099454,8.27309776647898,2.996,0.722,0.4793951791838304,observed,104,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,1,3.0121287461805686,0.9999999999999998,,-12.1705148099454,8.27309776647898,-12.1705148099454,8.27309776647898,True,,751320.5722133048,4319794.553629267,751321.5140590847,4319793.811337758,33.64777040388435,34.523431807989255
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,2,-5.19497091881804,7.35249798308967,2.995,5.219,1.2888984816474895,observed,731,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,2,8.098388002333584,0.9999999999999998,,-5.19497091881804,7.35249798308967,-5.19497091881804,7.35249798308967,True,,751327.5039926161,4319793.346956736,751328.4458697899,4319792.604785891,35.658690181560814,46.07644964987412
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,3,-11.6031697048526,7.36315602076068,2.996,3.913,1.11604058377694,observed,515,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,3,7.012289798203397,1.0000000000000002,,-11.6031697048526,7.36315602076068,-11.6031697048526,7.36315602076068,True,,751321.101658979,4319793.621126626,751322.0434868813,4319792.878859369,35.20190105121583,35.40581146883778
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,4,10.6711367168549,5.93207997073847,2.963,5.349,1.3048523216046697,observed,1955,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,4,8.198628935145633,1.0,,10.6711367168549,5.93207997073847,10.6711367168549,5.93207997073847,True,,751343.2982528707,4319791.275286969,751344.240218327,4319790.533379331,39.11103444825858,72.40036387857981
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,5,-6.78436182996958,3.56924602291836,2.992,6.966,1.4890757761632838,observed,3670,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,5,9.356139038066182,1.0000000000000002,,-6.78436182996958,3.56924602291836,-6.78436182996958,3.56924602291836,True,,751325.7603713878,4319789.63226472,751326.7021437027,4319788.890135504,41.84977415949106,43.17023950442672
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,6,-1.09223441199219,3.26802297740369,2.999,7.548,1.5500332321970558,observed,58508,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,6,9.739146030180626,0.9999999999999999,,-1.09223441199219,3.26802297740369,-1.09223441199219,3.26802297740369,True,,751331.4352913473,4319789.097222228,751332.3771003128,4319788.355183798,42.74136033654213,52.628500521415845
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,7,-12.4630838199093,2.84451109193053,2.996,4.996,1.2610615335399848,observed,975,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,7,7.92348329898779,0.9999999999999999,,-12.4630838199093,2.84451109193053,-12.4630838199093,2.84451109193053,True,,751320.0566556733,4319789.14166584,751320.9983664346,4319788.399463867,42.667560221627355,33.66394405765459
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,8,-4.24285582350026,-1.67658808900386,2.999,9.006,1.6931328462265502,observed,25724,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,8,10.638267422513815,0.9999999999999999,,-4.24285582350026,-1.67658808900386,-4.24285582350026,-1.67658808900386,True,,751328.0840039199,4319784.286355141,751329.0256675812,4319783.544355073,50.75940821133554,47.04277930222452
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,9,10.0522264986838,-2.3666065366395,2.999,8.026,1.598360142931218,observed,3394,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,9,10.042792965646893,1.0,,10.0522264986838,-2.3666065366395,10.0522264986838,-2.3666065366395,True,,751342.33860507,4319783.009071504,751343.2803624865,4319782.267298646,52.88783558923751,70.8006041443441
dl-bliss,CAAEU_0027_20250728_1,CAAEU_0027_20250728_1,20250728,2025-07-28,10,-0.963223419690193,-4.75125928301815,2.999,8.266,1.6220818472553147,observed,19825,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Shrubs/CAAEU_0027_20250728_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/metrics/CAAEU_0027_20250728_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Inventory/CAAEU_0027_20250728_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/Fuels/CAAEU_0027_20250728_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/dtm/CAAEU_0027_20250728_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/dl-bliss/sprint3/original/CAAEU_0027_20250728_1/chm/CAAEU_0027_20250728_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/dl-bliss/CAAEU_0027_20250728_1.ptx,10,10.191840829717314,1.0000000000000002,,-0.963223419690193,-4.75125928301815,-0.963223419690193,-4.75125928301815,True,,751331.2344211373,4319781.0794183025,751332.1760349614,4319780.337520958,56.104131736792624,52.293391602346674
