site_id,plot_id,ptx_stem,ptx_date_token,ptx_date,object_id,x_tls,y_tls,height_tls,area_tls,radius_m,radius_source,n_points,valid_object,object_confidence,temporal_confidence,transform_confidence,boundary_confidence_mode,source_file,source_version,variant,label_variant,run_dir,metrics_csv,tree_inventory_csv,fuels_raster,dtm_raster,chm_raster,input_ptx,Unnamed: 0,perimeter_tls,compactness,elongation,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,dedup_keep,dedup_reason,x_als,y_als,x_naip,y_naip,row,col
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,1,6.90233304020783,10.6966119810762,2.999,7.945,1.5902742045729776,observed,2797,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,1,9.991987516559638,1.0,,6.90233304020783,10.6966119810762,6.90233304020783,10.6966119810762,True,,297955.36541212513,4108354.1154803582,297955.6197430193,4108354.108443864,70.15259356051683,37.69957169884583
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,2,2.61177050633135,10.3795043617816,2.999,7.534,1.548595067313815,observed,7966,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,2,9.730109773716944,1.0000000000000002,,2.61177050633135,10.3795043617816,2.61177050633135,10.3795043617816,True,,297959.561722788,4108353.167094482,297959.8161405723,4108353.160241169,71.73293138574809,44.69356762053212
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,3,4.47700487194018,9.61078813450833,2.998,7.352,1.5297758931370402,observed,6616,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,3,9.611865415036181,0.9999999999999999,,4.47700487194018,9.61078813450833,4.47700487194018,9.61078813450833,True,,297958.0019431751,4108354.4465204333,297958.2563201911,4108354.4395937445,69.60067709349096,42.09386698517483
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,4,-12.5633443771524,8.08274907968175,0.863,0.017,0.07356132180109627,observed,11,True,0.8,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,4,0.4621994163173575,0.9999999999999999,,-12.5633443771524,8.08274907968175,-12.5633443771524,8.08274907968175,True,,297974.7463285915,4108350.936854526,297975.00104974315,4108350.930657059,75.44890490267426,70.00174957193667
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,5,-5.4484698985716,7.38921715777854,2.999,3.647,1.0774396293585478,observed,308,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,5,6.769752848558646,1.0,,-5.4484698985716,7.38921715777854,-5.4484698985716,7.38921715777854,True,,297968.14348640636,4108353.675860098,297968.3980595134,4108353.6693674056,70.88438765797764,58.99676585569978
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,6,-4.73762860272624,3.88655815575887,2.999,9.029,1.6952934738131467,observed,46737,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,6,10.651843046020204,0.9999999999999999,,-4.73762860272624,3.88655815575887,-4.73762860272624,3.88655815575887,True,,297968.48544255056,4108357.233522292,297968.73998957174,4108357.2270238097,64.95496031735092,59.56664928625105
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,7,-10.1515420650706,2.48879931501848,2.999,8.099,1.6056125834716546,observed,10959,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,7,10.088361393491757,0.9999999999999999,,-10.1515420650706,2.48879931501848,-10.1515420650706,2.48879931501848,True,,297974.07147174474,4108356.991058612,297974.3261251275,4108356.9847981385,65.35866976995021,68.87687521253247
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,8,-13.5591418134492,1.7109893194536,2.941,4.938,1.253720151379708,observed,581,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,8,7.877356034463949,1.0,,-13.5591418134492,1.7109893194536,-13.5591418134492,1.7109893194536,True,,297977.55765803833,4108356.7409230196,297977.8123786986,4108356.7348116385,65.77531393617392,74.68729783105664
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,9,-10.8576953683975,0.430150823858003,2.999,7.803,1.5759987442546135,observed,14788,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,9,9.902292154034066,1.0,,-10.8576953683975,0.430150823858003,-10.8576953683975,0.430150823858003,True,,297975.3474708358,4108358.7541435547,297975.60213193146,4108358.747927082,62.42012153100222,71.00355321913958
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,10,-13.666191006745,-2.20061104494514,2.973,3.455,1.0486947395524575,observed,1157,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_original,original,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/original/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,10,6.5891433792725245,1.0,,-13.666191006745,-2.20061104494514,-13.666191006745,-2.20061104494514,True,,297978.8012060428,4108360.4511311622,297979.0559160731,4108360.4450513134,59.59158114530146,76.75986012181966
