site_id,plot_id,ptx_stem,ptx_date_token,ptx_date,object_id,x_tls,y_tls,height_tls,area_tls,radius_m,radius_source,n_points,valid_object,object_confidence,temporal_confidence,transform_confidence,boundary_confidence_mode,source_file,source_version,variant,label_variant,run_dir,metrics_csv,tree_inventory_csv,fuels_raster,dtm_raster,chm_raster,input_ptx,Unnamed: 0,perimeter_tls,compactness,elongation,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,dedup_keep,dedup_reason,x_als,y_als,x_naip,y_naip,row,col
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,14,5.76014014225863,3.72555448045318,0.044,0.197,0.25041375277369804,observed,219,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,1,1.573396012143401,1.0,,5.76014014225863,3.72555448045318,5.76014014225863,3.72555448045318,True,,297958.4916019105,4108360.450067555,297958.7459331916,4108360.443127279,56.5947878677398,36.90988865273539
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,15,1.74370021162115,2.74301940131354,0.17,0.236,0.27408234736913395,observed,1379,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,2,1.7221101779470338,1.0,,1.74370021162115,2.74301940131354,1.74370021162115,2.74301940131354,True,,297962.61985206377,4108360.2181323227,297962.87426245364,4108360.2113682874,56.98105285409838,43.79043742275098
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,20,-2.24171444910353,0.234101421382717,0.632,0.23,0.2705758189903005,observed,4055,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,3,1.7000780103579394,1.0,,-2.24171444910353,0.234101421382717,-2.24171444910353,0.234101421382717,True,,297967.16372981446,4108361.4552303776,297967.4182136456,4108361.4486517757,54.91891370713711,51.363689409336075
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,21,4.75132954601481,0.254047006080959,0.573,0.24,0.27639531957706837,observed,2075,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,4,1.7366430109398423,1.0,,4.75132954601481,0.254047006080959,4.75132954601481,0.254047006080959,True,,297960.46926716634,4108363.4762541694,297960.72360766534,4108363.469380336,51.55103277321905,40.20601277559763
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,23,7.77045775478508,-0.266542920638155,0.441,0.216,0.26221162334209897,observed,321,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,5,1.647524219154784,1.0,,7.77045775478508,-0.266542920638155,7.77045775478508,-0.266542920638155,True,,297957.7334339328,4108364.854976723,297957.9877107948,4108364.8479790413,49.25336826406419,35.6461846579914
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,25,2.24730058162599,-0.7434661361857,0.441,0.238,0.27524126309792685,observed,1370,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,6,1.7293918602264449,0.9999999999999999,,2.24730058162599,-0.7434661361857,2.24730058162599,-0.7434661361857,True,,297963.1553097455,4108363.699865613,297963.4096983083,4108363.6931043137,51.17815947718918,44.682830513920635
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,27,-7.75404792497748,-2.2553799559345,0.151,0.189,0.24527651434398776,observed,115,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,7,1.541117791122367,1.0,,-7.75404792497748,-2.2553799559345,-7.75404792497748,-2.2553799559345,True,,297973.162390755,4108362.228284754,297973.4169794131,4108362.221955876,53.6300735399127,61.36163235513959
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,28,-0.243952384529446,-2.24741965832926,0.312,0.226,0.2682126661392722,observed,3512,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,8,1.6852298830857388,1.0,,-0.243952384529446,-2.24741965832926,-0.243952384529446,-2.24741965832926,True,,297965.97687985003,4108364.4116134476,297966.23131454346,4108364.404967623,49.991720627993345,49.38552423910005
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,29,6.24484939128224,-2.24889881870754,0.418,0.233,0.2723347269094106,observed,572,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,9,1.7111295547519736,0.9999999999999999,,6.24484939128224,-2.24889881870754,6.24484939128224,-2.24889881870754,True,,297959.7709606525,4108366.30602587,297960.0252622552,4108366.2991061914,46.834823014214635,39.04210375872208
shaver-lake,CAFKU_0096_20240804_1,CAFKU_0096_20240804_1,20240804,2024-08-04,31,1.27309755946688,-2.72965170180673,0.764,0.21,0.2585441472913205,observed,2017,True,1.0,1.0,1.0,radial,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Shrubs/CAFKU_0096_20240804_1.csv,sprint3_revised,revised,base,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/metrics/CAFKU_0096_20240804_1_metrics.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Inventory/CAFKU_0096_20240804_1_inv.csv,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/Fuels/CAFKU_0096_20240804_1.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/dtm/CAFKU_0096_20240804_1_dtm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/shaver-lake/sprint3/revised/CAFKU_0096_20240804_1/chm/CAFKU_0096_20240804_1_chm.tif,/home/jovyan/work/Dry-shRub/shrub/Final/artifacts/labeling/ptx_cache/shaver-lake/CAFKU_0096_20240804_1.ptx,10,1.6244807875180998,1.0000000000000002,,1.27309755946688,-2.72965170180673,1.27309755946688,-2.72965170180673,True,,297964.6665505027,4108365.315440964,297964.92095249554,4108365.3087344286,48.48544261883944,47.20158749260008
